DateLong,Venue,Year,ShortDate
"February 18, 1985","Henry J. Kaiser Convention Center, Oakland, CA",1985,1985-02-18
"February 19, 1985","Henry J. Kaiser Convention Center, Oakland, CA",1985,1985-02-19
"February 20, 1985","Henry J. Kaiser Convention Center, Oakland, CA",1985,1985-02-20
"March 9, 1985","Berkeley Community Theater, Berkeley, CA",1985,1985-03-09
"March 10, 1985","Berkeley Community Theater, Berkeley, CA",1985,1985-03-10
"March 12, 1985","Berkeley Community Theater, Berkeley, CA",1985,1985-03-12
"March 13, 1985","Berkeley Community Theater, Berkeley, CA",1985,1985-03-13
"March 21, 1985","Hampton Coliseum, Hampton, VA",1985,1985-03-21
"March 22, 1985","Hampton Coliseum, Hampton, VA",1985,1985-03-22
"March 24, 1985","Springfield Civic Center, Springfield, MA",1985,1985-03-24
"March 25, 1985","Springfield Civic Center, Springfield, MA",1985,1985-03-25
"March 27, 1985","Nassau Coliseum, Uniondale, NY",1985,1985-03-27
"March 28, 1985","Nassau Coliseum, Uniondale, NY",1985,1985-03-28
"March 29, 1985","Nassau Coliseum, Uniondale, NY",1985,1985-03-29
"March 31, 1985","Cumberland County Civic Center, Portland, ME",1985,1985-03-31
"April 1, 1985","Cumberland County Civic Center, Portland, ME",1985,1985-04-01
"April 3, 1985","Providence Civic Center, Providence, RI",1985,1985-04-03
"April 4, 1985","Providence Civic Center, Providence, RI",1985,1985-04-04
"April 6, 1985","The Spectrum, Philadelphia, PA",1985,1985-04-06
"April 7, 1985","The Spectrum, Philadelphia, PA",1985,1985-04-07
"April 8, 1985","The Spectrum, Philadelphia, PA",1985,1985-04-08
"April 13, 1985","Irvine Meadows, Irvine, CA",1985,1985-04-13
"April 14, 1985","Irvine Meadows, Irvine, CA",1985,1985-04-14
"April 21, 1985","Marin Veterans Memorial Auditorium, San Rafael, CA",1985,1985-04-21
"April 27, 1985","Frost Amphitheatre, Palo Alto, CA",1985,1985-04-27
"April 28, 1985","Frost Amphitheatre, Palo Alto, CA",1985,1985-04-28
"June 14, 1985","Greek Theatre, Berkeley, CA",1985,1985-06-14
"June 15, 1985","Greek Theatre, Berkeley, CA",1985,1985-06-15
"June 16, 1985","Greek Theatre, Berkeley, CA",1985,1985-06-16
"June 21, 1985","Alpine Valley Music Theatre, East Troy, WI",1985,1985-06-21
"June 22, 1985","Alpine Valley Music Theatre, East Troy, WI",1985,1985-06-22
"June 24, 1985","River Bend Music Center, Cincinnati, OH",1985,1985-06-24
"June 25, 1985","Blossom Music Center, Cuyahoga Falls, OH",1985,1985-06-25
"June 27, 1985","Saratoga Performing Arts Center, Saratoga Springs, NY",1985,1985-06-27
"June 28, 1985","Hershey Park Stadium, Hershey, PA",1985,1985-06-28
"June 30, 1985","Merriweather Post Pavilion, Columbia, MD",1985,1985-06-30
"July 1, 1985","Merriweather Post Pavilion, Columbia, MD",1985,1985-07-01
"July 2, 1985","Civic Arena, Pittsburgh, PA",1985,1985-07-02
"July 13, 1985","Ventura County Fairgrounds, Ventura, CA",1985,1985-07-13
"July 14, 1985","Ventura County Fairgrounds, Ventura, CA",1985,1985-07-14
"August 24, 1985","Boreal Ridge Ski Resort, Donner's Summit, CA",1985,1985-08-24
"August 30, 1985","Southern Star Amphitheater, Houston, TX",1985,1985-08-30
"August 31, 1985","Manor Downs, Austin, TX",1985,1985-08-31
"September 2, 1985","Zoo Amphitheater, Oklahoma City, OK",1985,1985-09-02
"September 3, 1985","Starlight Theater, Kansas City, MO",1985,1985-09-03
"September 5, 1985","Red Rocks Amphitheatre, Morrison, CO",1985,1985-09-05
"September 6, 1985","Red Rocks Amphitheatre, Morrison, CO",1985,1985-09-06
"September 7, 1985","Red Rocks Amphitheatre, Morrison, CO",1985,1985-09-07
"September 10, 1985","Henry J. Kaiser Convention Center, Oakland, CA",1985,1985-09-10
"September 11, 1985","Henry J. Kaiser Convention Center, Oakland, CA",1985,1985-09-11
"September 12, 1985","Henry J. Kaiser Convention Center, Oakland, CA",1985,1985-09-12
"September 15, 1985","Devore Field, Southwestern College, Chula Vista, CA",1985,1985-09-15
"October 25, 1985","The Sportatorium, Pembroke Pines, FL",1985,1985-10-25
"October 26, 1985","Sun Dome, Tampa, FL",1985,1985-10-26
"October 28, 1985","Fox Theater, Atlanta, GA",1985,1985-10-28
"October 29, 1985","Fox Theater, Atlanta, GA",1985,1985-10-29
"October 31, 1985","Carolina Coliseum, U. of South Carolina, Columbia, SC",1985,1985-10-31
"November 1, 1985","Richmond Coliseum, Richmond, VA",1985,1985-11-01
"November 2, 1985","Richmond Coliseum, Richmond, VA",1985,1985-11-02
"November 4, 1985","The Centrum, Worcester, MA",1985,1985-11-04
"November 5, 1985","The Centrum, Worcester, MA",1985,1985-11-05
"November 7, 1985","Community War Memorial Auditorium, Rochester, NY",1985,1985-11-07
"November 8, 1985","Community War Memorial Auditorium, Rochester, NY",1985,1985-11-08
"November 10, 1985","Meadowlands Arena, East Rutherford, NJ",1985,1985-11-10
"November 11, 1985","Meadowlands Arena, East Rutherford, NJ",1985,1985-11-11
"November 16, 1985","Long Beach Arena, Long Beach, CA",1985,1985-11-16
"November 17, 1985","Long Beach Arena, Long Beach, CA",1985,1985-11-17
"November 20, 1985","Henry J. Kaiser Convention Center, Oakland, CA",1985,1985-11-20
"November 21, 1985","Henry J. Kaiser Convention Center, Oakland, CA",1985,1985-11-21
"November 22, 1985","Henry J. Kaiser Convention Center, Oakland, CA",1985,1985-11-22
"December 17, 1985","Oakland-Alameda County Coliseum, Oakland, CA",1985,1985-12-17
"December 30, 1985","Oakland-Alameda County Coliseum, Oakland, CA",1985,1985-12-30
"December 31, 1985","Oakland-Alameda County Coliseum, Oakland, CA",1985,1985-12-31
